Variable,Description,Long,Type,ESTMOE,Source,Table,Table2,Years,Release,Category,Topic,Universe,Notes,API
pAbsent0_5,Absent 0-5 days,"% Absent 0-5 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Middle_Schools_2033
pAbsent6_15,Absent 6-15 days,"% Absent 6-15 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Middle_Schools_2034
pAbsent16P,Absent 16 or more days,"% Absent 16 or more days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Middle_Schools_2035
Churn,Student Mobility Rate,"Student Mobility Rate, 2019",Rate,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2036
TeacherCount,Teacher count,"Teacher count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2037
AvgExp,Average years of teacher experience,"Average years of teacher experience, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2038
pYrsLt1,Teachers with <1 year experience,"% Teachers with <1 year experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2039
pYears1_10,Teachers with 1-10 years experience,"% Teachers with 1-10 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2040
pYears11_20,Teachers with 11-20 years experience,"% Teachers with 11-20 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2041
pYears21_30,Teachers with 21-30 years experience,"% Teachers with 21-30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2042
pYearsGt30,Teachers with >30 years experience,"% Teachers with >30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_Middle_Schools_2043
Debt,Debt Services: $ per Full-time Equivalent,"Debt Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2044
GenAdmin,General Administration: $ per Full-time Equivalent,"General Administration: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2045
Instruction,Instruction: $ per Full-time Equivalent,"Instruction: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2046
Support,Instructional Support: $ per Full-time Equivalent,"Instructional Support: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2047
Ops,Maintenance and Operations: $ per Full-time Equivalent,"Maintenance and Operations: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2048
Media,Media: $ per Full-time Equivalent,"Media: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2049
PServices,Pupil Services: $ per Full-time Equivalent,"Pupil Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2050
Capital,Renovation and Capital Projects: $ per Full-time Equivalent,"Renovation and Capital Projects: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2051
TestedAll,Fitness Tested: All,"# Fitness Tested: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2052
AverageAll,Average Fitness Score: All,"Average Fitness Score: All, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2053
InHFZ,in Healthy Fitness Zone: All,"# in Healthy Fitness Zone: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2054
pInHFZ,in Healthy Fitness Zone: All,"% in Healthy Fitness Zone: All, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2055
TestedMale,Fitness Tested: Male,"# Fitness Tested: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2056
AverageMale,Average Fitness Score: Male,"Average Fitness Score: Male, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2057
InHFZMale,in Healthy Fitness Zone: Male,"# in Healthy Fitness Zone: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2058
pInHFZMale,in Healthy Fitness Zone: Male,"% in Healthy Fitness Zone: Male, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2059
TestedFemale,Fitness Tested: Female,"# Fitness Tested: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2060
AverageFemale,Average Fitness Score: Female,"Average Fitness Score: Female, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2061
InHFZFemale,in Healthy Fitness Zone: Female,"# in Healthy Fitness Zone: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2062
pInHFZFemale,in Healthy Fitness Zone: Female,"% in Healthy Fitness Zone: Female, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_Middle_Schools_2063
TotalStudents,Total students,"# Total students, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2064
AbsentLt10Pct,Students absent less than 10 percent of enrolled days,"# Students absent less than 10 percent of enrolled days, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Middle_Schools_2065
pAbsentLt10Pct,Students absent less than 10 perrcent of endolled days,"% Students absent less than 10 percent of endolled days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_Middle_Schools_2066
TOTAL_STUDENT_CT,Total Student Count,"Total Student Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2067
OSS_ZERO_DAYS,0 days Out of School Suspension,"0 days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2068
OSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"1-2 Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2069
OSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"3+ Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2070
pOSS_ZERO_DAYS,0 days Out of School Suspension,"% 0 days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2071
pOSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"% 1-2 Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2072
pOSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"% 3+ Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_Middle_Schools_2073
Homeless,Homeless students enrolled at any time during the school year,"# Homeless students enrolled at any time during the school year, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2074
SchoolAdmin,School Administration: $ per Full-time Equivalent,"School Administration: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2075
Food,School Food Services: $ per Full-time Equivalent,"School Food Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2076
Transport,Transportation: $ per Full-time Equivalent,"Transportation: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2077
TotalSpend,Total: $ per Full-time Equivalent,"Total: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_Middle_Schools_2078
CCRPI,College and Career Ready Performance Index (CCRPI),"College and Career Ready Performance Index (CCRPI), 2019",Index,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_Middle_Schools_2079
ClimateStar,Georgia School Climate Star Rating,"Georgia School Climate Star Rating, 2019",Index,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Rating,,,GA_Middle_Schools_2080
chENROLLMENTCnt,"Change since School Year 2015-2016, Full-time Equivalent Count","# Change since School Year 2015-2016, Full-time Equivalent Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2081
pchENROLLMENTCnt,"Change since School Year 2015-2016, Full-time Equivalent Count","% Change since School Year 2015-2016, Full-time Equivalent Count, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2082
chCCRPI,"Change since School Year 2015-2016, College and Career Ready Performance Index (CCRPI)","# Change since School Year 2015-2016, College and Career Ready Performance Index (CCRPI), 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_Middle_Schools_2083
chpELA8,"Change in Percent since 2016, Proficient or Higher: 8th Grade ELA","Change in Percent since 2016, % Proficient or Higher: 8th Grade ELA, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2084
chpProfPlusMath8,"Change in Percent since 2016, Proficient or Higher: 8th Grade Math","Change in Percent since 2016, % Proficient or Higher: 8th Grade Math, 2019",Change in Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2085
NTestedELA8,Tested: 8th Grade ELA,"# Tested: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2086
BeginELA8_Cnt,Beginning: 8th Grade ELA,"# Beginning: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2087
DevelopELA8_Cnt,Developing: 8th Grade ELA,"# Developing: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2088
ProfELA8_Cnt,Proficient: 8th Grade ELA,"# Proficient: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2089
DistELA8_Cnt,Distinguished: 8th Grade ELA,"# Distinguished: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2090
NTestedMath8,Tested: 8th Grade Math,"# Tested: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2091
BeginMath8_Cnt,Beginning: 8th Grade Math,"# Beginning: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2092
DevelopMath8_Cnt,Developing: 8th Grade Math,"# Developing: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2093
ProfMath8_Cnt,Proficient: 8th Grade Math,"# Proficient: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2094
DistMath8_Cnt,Distinguished: 8th Grade Math,"# Distinguished: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2095
pBeginELA8,Beginning: 8th Grade ELA,"% Beginning: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2096
pDevelopELA8,Developing: 8th Grade ELA,"% Developing: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2097
pProfELA8,Proficient: 8th Grade ELA,"% Proficient: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2098
pDistELA8,Distinguished: 8th Grade ELA,"% Distinguished: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2099
pBeginMath8,Beginning: 8th Grade Math,"% Beginning: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2100
pDevelopMath8,Developing: 8th Grade Math,"% Developing: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2101
pProfMath8,Proficient: 8th Grade Math,"% Proficient: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2102
pDistMath8,Distinguished: 8th Grade Math,"% Distinguished: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2103
DevPlusELA8_Cnt,Developing or Higher: 8th Grade ELA,"# Developing or Higher: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2104
ProfPlusELA8_Cnt,Proficient or Higher: 8th Grade ELA,"# Proficient or Higher: 8th Grade ELA, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2105
pDevPlusELA8,Developing or Higher: 8th Grade ELA,"% Developing or Higher: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2106
pProfPlusELA8,Proficient or Higher: 8th Grade ELA,"% Proficient or Higher: 8th Grade ELA, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2107
DevPlusMath8_Cnt,Developing or Higher: 8th Grade Math,"# Developing or Higher: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2108
ProfPlusMath8_Cnt,Proficient or Higher: 8th Grade Math,"# Proficient or Higher: 8th Grade Math, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2109
pDevPlusMath8,Developing or Higher: 8th Grade Math,"% Developing or Higher: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2110
pProfPlusMath8,Proficient or Higher: 8th Grade Math,"% Proficient or Higher: 8th Grade Math, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Middle School Student Performance,,,GA_Middle_Schools_2111
ENROLLMENT_COUNT,Fall Full-time Equivalent Count,"Fall Full-time Equivalent Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_ASIAN,Asian,"% Asian, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_NATIVE,Native American,"% Native American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_BLACK,Black or African-American,"% Black or African-American, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_HISPANIC,Hispanic or Latino,"% Hispanic or Latino, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_MULTIRACIAL,Multiracial,"% Multiracial, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_WHITE,White,"% White, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_MIGRANT,Migrant,"% Migrant, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_ED,Economically Disadvantaged,"% Economically Disadvantaged, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_SWD,Students with Disabilities,"% Students with Disabilities, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PERCENT_LEP,Limited English Proficiency,"% Limited English Proficiency, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PCT_ESOL,English as a Second Language,"% English as a Second Language, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
ENROLL_PCT_GIFTED,Partcipating Gifted program,"% Partcipating Gifted program, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
direct_cert_perc,Poverty (Directly Certified Students),"% Poverty (Directly Certified Students), 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
pAbsent0_5,Absent 0-5 days,"% Absent 0-5 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_High_Schools_2019
pAbsent6_15,Absent 6-15 days,"% Absent 6-15 days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_High_Schools_2019
pAbsent16P,Absent 16 or more days,"% Absent 16 or more days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_High_Schools_2019
Churn,Student Mobility Rate,"Student Mobility Rate, 2019",Rate,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
TeacherCount,Teacher count,"Teacher count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
AvgExp,Average years of teacher experience,"Average years of teacher experience, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
pYrsLt1,Teachers with <1 year experience,"% Teachers with <1 year experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
pYears1_10,Teachers with 1-10 years experience,"% Teachers with 1-10 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
pYears11_20,Teachers with 11-20 years experience,"% Teachers with 11-20 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
pYears21_30,Teachers with 21-30 years experience,"% Teachers with 21-30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
pYearsGt30,Teachers with >30 years experience,"% Teachers with >30 years experience, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Teacher Demographics,,,GA_High_Schools_2019
Debt,Debt Services: $ per Full-time Equivalent,"Debt Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
GenAdmin,General Administration: $ per Full-time Equivalent,"General Administration: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
Instruction,Instruction: $ per Full-time Equivalent,"Instruction: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
Support,Instructional Support: $ per Full-time Equivalent,"Instructional Support: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
Ops,Maintenance and Operations: $ per Full-time Equivalent,"Maintenance and Operations: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
Media,Media: $ per Full-time Equivalent,"Media: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
PServices,Pupil Services: $ per Full-time Equivalent,"Pupil Services: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
Capital,Renovation and Capital Projects: $ per Full-time Equivalent,"Renovation and Capital Projects: $ per Full-time Equivalent, 2019",Money,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,School Finances,,,GA_High_Schools_2019
TestedAll,Fitness Tested: All,"# Fitness Tested: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
AverageAll,Average Fitness Score: All,"Average Fitness Score: All, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
InHFZ,in Healthy Fitness Zone: All,"# in Healthy Fitness Zone: All, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
pInHFZ,in Healthy Fitness Zone: All,"% in Healthy Fitness Zone: All, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
TestedMale,Fitness Tested: Male,"# Fitness Tested: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
AverageMale,Average Fitness Score: Male,"Average Fitness Score: Male, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
InHFZMale,in Healthy Fitness Zone: Male,"# in Healthy Fitness Zone: Male, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
pInHFZMale,in Healthy Fitness Zone: Male,"% in Healthy Fitness Zone: Male, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
TestedFemale,Fitness Tested: Female,"# Fitness Tested: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
AverageFemale,Average Fitness Score: Female,"Average Fitness Score: Female, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
InHFZFemale,in Healthy Fitness Zone: Female,"# in Healthy Fitness Zone: Female, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
pInHFZFemale,in Healthy Fitness Zone: Female,"% in Healthy Fitness Zone: Female, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Health,,,GA_High_Schools_2019
TotalStudents,Total students,"# Total students, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Demographics,,,GA_High_Schools_2019
AbsentLt10Pct,Students absent less than 10 percent of enrolled days,"# Students absent less than 10 percent of enrolled days, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_High_Schools_2019
pAbsentLt10Pct,Students absent less than 10 perrcent of endolled days,"% Students absent less than 10 percent of endolled days, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Absense,,,GA_High_Schools_2019
TOTAL_STUDENT_CT,Total Student Count,"Total Student Count, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
OSS_ZERO_DAYS,0 days Out of School Suspension,"0 days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
OSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"1-2 Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
OSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"3+ Days Out of School Suspension, 2019",Count,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
pOSS_ZERO_DAYS,0 days Out of School Suspension,"% 0 days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
pOSS_LESS_THAN_3_DAYS,1-2 Days Out of School Suspension,"% 1-2 Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
pOSS_3_OR_MORE_DAYS,3+ Days Out of School Suspension,"% 3+ Days Out of School Suspension, 2019",Percent,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Student Suspensions,,,GA_High_Schools_2019
ACTComposite,Average Highest ACT: Composite Score,"Average Highest ACT: Composite Score, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTCombWriting,Average Highest ACT: Combined English Writing,"Average Highest ACT: Combined English Writing, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTWritingSub,Average Highest ACT: Writing Subscore,"Average Highest ACT: Writing Subscore, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTEnglish,Average Highest ACT: English,"Average Highest ACT: English, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTMath,Average Highest ACT: Math,"Average Highest ACT: Math, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTReading,Average Highest ACT: Reading,"Average Highest ACT: Reading, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
ACTScience,Average Highest ACT: Science,"Average Highest ACT: Science, 2019",Mean,,Georgia Department of Education (DOE),,,2019,,Georgia School Data,Standardized Test Scores,,,GA_High_Schools_2019
